PROJECT_ID,PROJECT_NAME,PROJECT_CUSTOMER,PROJECT_VERTICAL,PROJECT_EXECUTION_UNIT,PROJECT_TYPE,PROJECT_STATUS,PROJECT_MANAGER_ID,PROJECT_MANAGER_NAME,ASDM_NUMBER,ASDM_NAME,PM_STATUS,BILLING_CYCLE_START_DATE,BILLING_CYCLE_END_DATE,Vertical,Unit,Commercial Model
PID_14,PRJ_14,CUST_14,PRJ_Vert_06,PRJ_Exec_12,Standard Billable,Active,PM_14,Project_Manager_14,ASDM_14,Account_Service_Delivery_Manager_14,Confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_02
PID_15,PRJ_15,CUST_15,PRJ_Vert_01,PRJ_Exec_13,Standard Billable,Active,PM_15,Project_Manager_15,ASDM_15,Account_Service_Delivery_Manager_15,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_02,Commercial_Model_03
PID_16,PRJ_16,CUST_16,PRJ_Vert_07,PRJ_Exec_05,Standard Billable,Active,PM_16,Project_Manager_16,ASDM_16,Account_Service_Delivery_Manager_16,Confirmed,01-03-2026,31-03-2026,Vertical_07,Unit_01,Commercial_Model_02
PID_17,PRJ_17,CUST_12,PRJ_Vert_03,PRJ_Exec_10,Standard Billable,Active,PM_12,Project_Manager_12,ASDM_12,Account_Service_Delivery_Manager_12,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_02
PID_18,PRJ_18,CUST_17,PRJ_Vert_04,PRJ_Exec_14,Standard Billable,Active,PM_17,Project_Manager_17,ASDM_17,Account_Service_Delivery_Manager_17,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_04,Unit_02,Commercial_Model_03
PID_19,PRJ_19,CUST_18,PRJ_Vert_01,PRJ_Exec_05,Standard Billable,Active,PM_18,Project_Manager_18,ASDM_18,Account_Service_Delivery_Manager_18,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_01
PID_1029,PRJ_1029,CUST_27,PRJ_Vert_03,PRJ_Exec_10,Standard Billable,Active,PM_174,Project_Manager_174,ASDM_27,Account_Service_Delivery_Manager_27,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_02
PID_20,PRJ_20,CUST_19,PRJ_Vert_04,PRJ_Exec_08,Standard Billable,Active,PM_19,Project_Manager_19,ASDM_19,Account_Service_Delivery_Manager_19,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_04,Unit_01,Commercial_Model_04
PID_22,PRJ_22,CUST_21,PRJ_Vert_02,PRJ_Exec_15,Standard Billable,Active,PM_21,Project_Manager_21,ASDM_21,Account_Service_Delivery_Manager_21,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_02
PID_23,PRJ_23,CUST_22,PRJ_Vert_02,PRJ_Exec_16,Standard Billable,Active,PM_22,Project_Manager_22,ASDM_22,Account_Service_Delivery_Manager_22,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_02
PID_24,PRJ_24,CUST_23,PRJ_Vert_04,PRJ_Exec_13,Standard Billable,Active,PM_23,Project_Manager_23,ASDM_23,Account_Service_Delivery_Manager_23,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_04,Unit_02,Commercial_Model_03
PID_25,PRJ_25,CUST_24,PRJ_Vert_01,PRJ_Exec_13,Standard Billable,Active,PM_24,Project_Manager_24,ASDM_24,Account_Service_Delivery_Manager_24,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_02,Commercial_Model_02
PID_26,PRJ_26,CUST_25,PRJ_Vert_01,PRJ_Exec_17,Standard Billable,Active,PM_25,Project_Manager_25,ASDM_25,Account_Service_Delivery_Manager_25,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_02,Commercial_Model_02
PID_27,PRJ_27,CUST_26,PRJ_Vert_02,PRJ_Exec_15,Standard Billable,Active,PM_26,Project_Manager_26,ASDM_26,Account_Service_Delivery_Manager_26,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_02
PID_28,PRJ_28,CUST_27,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_27,Project_Manager_27,ASDM_27,Account_Service_Delivery_Manager_27,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_04
PID_768,PRJ_768,CUST_282,PRJ_Vert_01,PRJ_Exec_05,Standard Billable,Active,PM_222,Project_Manager_222,ASDM_64,Account_Service_Delivery_Manager_63,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_02
PID_256,PRJ_256,CUST_69,PRJ_Vert_05,PRJ_Exec_09,Standard Billable,Active,PM_71,Project_Manager_71,ASDM_58,Account_Service_Delivery_Manager_50,Confirmed,01-03-2026,31-03-2026,Vertical_05,Unit_01,Commercial_Model_02
PID_29,PRJ_29,CUST_20,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_28,Project_Manager_28,ASDM_20,Account_Service_Delivery_Manager_20,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_04
PID_30,PRJ_30,CUST_28,PRJ_Vert_01,PRJ_Exec_05,Standard Billable,Active,PM_29,Project_Manager_29,ASDM_28,Account_Service_Delivery_Manager_28,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_02
PID_1816,PRJ_1816,CUST_27,PRJ_Vert_03,PRJ_Exec_10,Standard Billable,Active,PM_174,Project_Manager_174,ASDM_27,Account_Service_Delivery_Manager_27,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_02
PID_31,PRJ_31,CUST_13,PRJ_Vert_06,PRJ_Exec_18,Standard Billable,Active,PM_30,Project_Manager_30,ASDM_29,Account_Service_Delivery_Manager_29,Confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_04
PID_23,PRJ_23,CUST_22,PRJ_Vert_02,PRJ_Exec_31,Standard Billable,Active,PM_22,Project_Manager_22,ASDM_22,Account_Service_Delivery_Manager_22,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_02
PID_32,PRJ_32,CUST_03,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_03,Project_Manager_03,ASDM_03,Account_Service_Delivery_Manager_03,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_03
PID_33,PRJ_33,CUST_29,PRJ_Vert_02,PRJ_Exec_19,Standard Billable,Active,PM_31,Project_Manager_31,ASDM_30,Account_Service_Delivery_Manager_30,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_02
PID_36,PRJ_36,CUST_04,PRJ_Vert_04,PRJ_Exec_04,Standard Billable,Active,PM_34,Project_Manager_34,ASDM_04,Account_Service_Delivery_Manager_04,Confirmed,01-03-2026,31-03-2026,Vertical_04,Unit_01,Commercial_Model_04
PID_37,PRJ_37,CUST_32,PRJ_Vert_05,PRJ_Exec_09,Standard Billable,Active,PM_35,Project_Manager_35,ASDM_33,Account_Service_Delivery_Manager_33,Confirmed,01-03-2026,31-03-2026,Vertical_05,Unit_01,Commercial_Model_04
PID_268,PRJ_268,CUST_49,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_53,Project_Manager_53,ASDM_46,Account_Service_Delivery_Manager_46,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_04
PID_38,PRJ_38,CUST_33,PRJ_Vert_02,PRJ_Exec_16,Standard Billable,Active,PM_36,Project_Manager_36,ASDM_34,Account_Service_Delivery_Manager_34,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_01
PID_39,PRJ_39,CUST_12,PRJ_Vert_03,PRJ_Exec_10,Standard Billable,Active,PM_12,Project_Manager_12,ASDM_12,Account_Service_Delivery_Manager_12,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_02
PID_40,PRJ_40,CUST_34,PRJ_Vert_06,PRJ_Exec_07,Standard Billable,Active,PM_37,Project_Manager_37,ASDM_35,Account_Service_Delivery_Manager_35,Confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_02,Commercial_Model_03
PID_41,PRJ_41,CUST_13,PRJ_Vert_06,PRJ_Exec_21,Standard Billable,Active,PM_38,Project_Manager_38,ASDM_36,Account_Service_Delivery_Manager_36,Confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_01
PID_42,PRJ_42,CUST_35,PRJ_Vert_01,PRJ_Exec_22,Standard Billable,Active,PM_39,Project_Manager_39,ASDM_37,Account_Service_Delivery_Manager_37,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_04
PID_43,PRJ_43,CUST_36,PRJ_Vert_02,PRJ_Exec_23,Standard Billable,Active,PM_40,Project_Manager_40,ASDM_38,Account_Service_Delivery_Manager_38,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_05
PID_1600,PRJ_1600,CUST_121,PRJ_Vert_01,PRJ_Exec_24,Standard Billable,Active,PM_146,Project_Manager_146,ASDM_81,Account_Service_Delivery_Manager_80,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_01
PID_44,PRJ_44,CUST_37,PRJ_Vert_01,PRJ_Exec_24,Standard Billable,Active,PM_41,Project_Manager_41,ASDM_39,Account_Service_Delivery_Manager_39,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_04
PID_161,PRJ_161,CUST_40,PRJ_Vert_01,PRJ_Exec_05,Standard Billable,Active,PM_130,Project_Manager_130,ASDM_41,Account_Service_Delivery_Manager_41,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_02
PID_46,PRJ_46,CUST_13,PRJ_Vert_06,PRJ_Exec_25,Standard Billable,Active,PM_43,Project_Manager_43,ASDM_36,Account_Service_Delivery_Manager_36,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_01
PID_47,PRJ_47,CUST_07,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_07,Project_Manager_07,ASDM_07,Account_Service_Delivery_Manager_07,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_05
PID_48,PRJ_48,CUST_39,PRJ_Vert_01,PRJ_Exec_05,Standard Billable,Active,PM_44,Project_Manager_44,ASDM_41,Account_Service_Delivery_Manager_41,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_02
PID_49,PRJ_49,CUST_40,PRJ_Vert_01,PRJ_Exec_05,Standard Billable,Active,PM_45,Project_Manager_45,ASDM_41,Account_Service_Delivery_Manager_41,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_02
PID_50,PRJ_50,CUST_41,PRJ_Vert_02,PRJ_Exec_26,Standard Billable,Active,PM_46,Project_Manager_46,ASDM_02,Account_Service_Delivery_Manager_02,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_02,Commercial_Model_02
PID_51,PRJ_51,CUST_42,PRJ_Vert_05,PRJ_Exec_09,Standard Billable,Active,PM_47,Project_Manager_47,ASDM_42,Account_Service_Delivery_Manager_42,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_05,Unit_01,Commercial_Model_04
PID_52,PRJ_52,CUST_43,PRJ_Vert_02,PRJ_Exec_06,Standard Billable,Active,PM_48,Project_Manager_48,ASDM_06,Account_Service_Delivery_Manager_06,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_04
PID_54,PRJ_54,CUST_45,PRJ_Vert_02,PRJ_Exec_17,Standard Billable,Active,PM_50,Project_Manager_50,ASDM_25,Account_Service_Delivery_Manager_25,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_02,Commercial_Model_02
PID_55,PRJ_55,CUST_10,PRJ_Vert_04,PRJ_Exec_08,Standard Billable,Active,PM_10,Project_Manager_10,ASDM_10,Account_Service_Delivery_Manager_10,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_04,Unit_01,Commercial_Model_02
PID_56,PRJ_56,CUST_46,PRJ_Vert_02,PRJ_Exec_27,Standard Billable,Active,PM_07,Project_Manager_07,ASDM_44,Account_Service_Delivery_Manager_44,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_01
PID_57,PRJ_57,CUST_47,PRJ_Vert_01,PRJ_Exec_24,Standard Billable,Active,PM_51,Project_Manager_51,ASDM_45,Account_Service_Delivery_Manager_45,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_04
PID_58,PRJ_58,CUST_03,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_03,Project_Manager_03,ASDM_03,Account_Service_Delivery_Manager_03,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_01
PID_59,PRJ_59,CUST_12,PRJ_Vert_03,PRJ_Exec_10,Standard Billable,Active,PM_12,Project_Manager_12,ASDM_12,Account_Service_Delivery_Manager_12,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_02
PID_60,PRJ_60,CUST_48,PRJ_Vert_02,PRJ_Exec_19,Standard Billable,Active,PM_52,Project_Manager_52,ASDM_30,Account_Service_Delivery_Manager_30,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_04
PID_61,PRJ_61,CUST_03,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_03,Project_Manager_03,ASDM_03,Account_Service_Delivery_Manager_03,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_01
PID_63,PRJ_63,CUST_50,PRJ_Vert_02,PRJ_Exec_07,Standard Billable,Active,PM_54,Project_Manager_54,ASDM_08,Account_Service_Delivery_Manager_08,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_02,Commercial_Model_03
PID_531,PRJ_531,CUST_226,PRJ_Vert_03,PRJ_Exec_10,Standard Billable,Active,PM_312,Project_Manager_312,,Account_Service_Delivery_Manager_117,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_04
PID_64,PRJ_64,CUST_51,PRJ_Vert_01,PRJ_Exec_01,Standard Billable,Active,PM_55,Project_Manager_55,ASDM_47,Account_Service_Delivery_Manager_47,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_04
PID_65,PRJ_65,CUST_52,PRJ_Vert_02,PRJ_Exec_07,Standard Billable,Active,PM_56,Project_Manager_56,ASDM_08,Account_Service_Delivery_Manager_08,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_02,Commercial_Model_03
PID_66,PRJ_66,CUST_13,PRJ_Vert_06,PRJ_Exec_28,Standard Billable,Active,PM_57,Project_Manager_57,ASDM_48,Account_Service_Delivery_Manager_48,Confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_04
PID_67,PRJ_67,CUST_12,PRJ_Vert_03,PRJ_Exec_10,Standard Billable,Active,PM_12,Project_Manager_12,ASDM_12,Account_Service_Delivery_Manager_12,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_02
PID_68,PRJ_68,CUST_53,PRJ_Vert_06,PRJ_Exec_29,Standard Billable,Active,PM_58,Project_Manager_58,ASDM_49,Account_Service_Delivery_Manager_49,Confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_04
PID_1617,PRJ_1617,CUST_154,PRJ_Vert_03,PRJ_Exec_03,Customer Non Billable,Active,PM_294,Project_Manager_294,ASDM_131,Account_Service_Delivery_Manager_130,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_05
PID_69,PRJ_69,CUST_13,PRJ_Vert_06,PRJ_Exec_11,Standard Billable,Active,PM_59,Project_Manager_59,ASDM_13,Account_Service_Delivery_Manager_13,Confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_04
PID_70,PRJ_70,CUST_44,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_60,Project_Manager_60,ASDM_43,Account_Service_Delivery_Manager_43,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_04
PID_72,PRJ_72,CUST_55,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_62,Project_Manager_62,ASDM_07,Account_Service_Delivery_Manager_07,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_04
PID_73,PRJ_73,CUST_56,PRJ_Vert_05,PRJ_Exec_30,Standard Billable,Active,PM_63,Project_Manager_63,ASDM_51,Account_Service_Delivery_Manager_51,Confirmed,01-03-2026,31-03-2026,Vertical_05,Unit_02,Commercial_Model_02
PID_74,PRJ_74,CUST_12,PRJ_Vert_03,PRJ_Exec_10,Standard Billable,Active,PM_12,Project_Manager_12,ASDM_12,Account_Service_Delivery_Manager_12,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_02
PID_75,PRJ_75,CUST_57,PRJ_Vert_01,PRJ_Exec_01,Standard Billable,Active,PM_64,Project_Manager_64,ASDM_52,Account_Service_Delivery_Manager_52,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_02
PID_76,PRJ_76,CUST_58,PRJ_Vert_01,PRJ_Exec_05,Standard Billable,Active,PM_65,Project_Manager_65,ASDM_53,Account_Service_Delivery_Manager_53,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_01
PID_77,PRJ_77,CUST_59,PRJ_Vert_08,PRJ_Exec_05,Standard Billable,Active,PM_66,Project_Manager_66,ASDM_54,Account_Service_Delivery_Manager_54,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_08,Unit_01,Commercial_Model_02
PID_1626,PRJ_1626,CUST_44,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_635,Project_Manager_634,ASDM_43,Account_Service_Delivery_Manager_43,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_04
PID_549,PRJ_549,CUST_154,PRJ_Vert_03,PRJ_Exec_17,Standard Billable,Active,PM_321,Project_Manager_321,ASDM_95,Account_Service_Delivery_Manager_94,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_03
PID_80,PRJ_80,CUST_62,PRJ_Vert_06,PRJ_Exec_32,Standard Billable,Active,PM_69,Project_Manager_69,ASDM_56,Account_Service_Delivery_Manager_56,Confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_01
PID_81,PRJ_81,CUST_63,PRJ_Vert_01,PRJ_Exec_20,Standard Billable,Active,PM_70,Project_Manager_70,ASDM_57,Account_Service_Delivery_Manager_57,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_02
PID_82,PRJ_82,CUST_54,PRJ_Vert_02,PRJ_Exec_19,Standard Billable,Active,PM_71,Project_Manager_71,ASDM_58,Account_Service_Delivery_Manager_50,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_02
PID_83,PRJ_83,CUST_64,PRJ_Vert_01,PRJ_Exec_31,Standard Billable,Active,PM_72,Project_Manager_72,ASDM_55,Account_Service_Delivery_Manager_55,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_02
PID_84,PRJ_84,CUST_27,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_73,Project_Manager_73,ASDM_27,Account_Service_Delivery_Manager_27,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_04
PID_85,PRJ_85,CUST_13,PRJ_Vert_06,PRJ_Exec_18,Standard Billable,Active,PM_74,Project_Manager_74,ASDM_29,Account_Service_Delivery_Manager_29,Confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_04
PID_86,PRJ_86,CUST_65,PRJ_Vert_01,PRJ_Exec_33,Standard Billable,Active,PM_75,Project_Manager_75,ASDM_39,Account_Service_Delivery_Manager_39,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_04
PID_558,PRJ_558,CUST_200,PRJ_Vert_01,PRJ_Exec_20,Standard Billable,Active,PM_263,Project_Manager_263,ASDM_31,Account_Service_Delivery_Manager_31,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_04
PID_87,PRJ_87,CUST_27,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_76,Project_Manager_76,ASDM_27,Account_Service_Delivery_Manager_27,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_04
PID_88,PRJ_88,CUST_12,PRJ_Vert_03,PRJ_Exec_10,Standard Billable,Active,PM_12,Project_Manager_12,ASDM_12,Account_Service_Delivery_Manager_12,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_02,Commercial_Model_02
PID_90,PRJ_90,CUST_67,PRJ_Vert_02,PRJ_Exec_23,Standard Billable,Active,PM_78,Project_Manager_78,ASDM_59,Account_Service_Delivery_Manager_58,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_02
PID_91,PRJ_91,CUST_42,PRJ_Vert_05,PRJ_Exec_09,Standard Billable,Active,PM_79,Project_Manager_79,ASDM_42,Account_Service_Delivery_Manager_42,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_05,Unit_01,Commercial_Model_04
PID_92,PRJ_92,CUST_68,PRJ_Vert_05,PRJ_Exec_05,Standard Billable,Active,PM_80,Project_Manager_80,ASDM_11,Account_Service_Delivery_Manager_11,Confirmed,01-03-2026,31-03-2026,Vertical_05,Unit_01,Commercial_Model_02
PID_93,PRJ_93,CUST_27,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_81,Project_Manager_81,ASDM_27,Account_Service_Delivery_Manager_27,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_04
PID_94,PRJ_94,CUST_69,PRJ_Vert_05,PRJ_Exec_09,Standard Billable,Active,PM_71,Project_Manager_71,ASDM_58,Account_Service_Delivery_Manager_50,Confirmed,01-03-2026,31-03-2026,Vertical_05,Unit_01,Commercial_Model_02
PID_95,PRJ_95,CUST_70,PRJ_Vert_01,PRJ_Exec_01,Standard Billable,Active,PM_82,Project_Manager_82,ASDM_52,Account_Service_Delivery_Manager_52,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_04
PID_96,PRJ_96,CUST_71,PRJ_Vert_02,PRJ_Exec_23,Standard Billable,Active,PM_83,Project_Manager_83,ASDM_60,Account_Service_Delivery_Manager_59,Yet to be confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_01
PID_97,PRJ_97,CUST_27,PRJ_Vert_03,PRJ_Exec_03,Standard Billable,Active,PM_84,Project_Manager_84,ASDM_27,Account_Service_Delivery_Manager_27,Confirmed,01-03-2026,31-03-2026,Vertical_03,Unit_01,Commercial_Model_04
PID_98,PRJ_98,CUST_10,PRJ_Vert_04,PRJ_Exec_08,Standard Billable,Active,PM_10,Project_Manager_10,ASDM_10,Account_Service_Delivery_Manager_10,Confirmed,01-03-2026,31-03-2026,Vertical_04,Unit_01,Commercial_Model_01
PID_99,PRJ_99,CUST_68,PRJ_Vert_05,PRJ_Exec_16,Standard Billable,Active,PM_85,Project_Manager_85,ASDM_11,Account_Service_Delivery_Manager_11,Confirmed,01-03-2026,31-03-2026,Vertical_05,Unit_01,Commercial_Model_02
PID_857,PRJ_857,CUST_13,PRJ_Vert_06,PRJ_Exec_31,Standard Billable,Active,PM_423,Project_Manager_423,ASDM_36,Account_Service_Delivery_Manager_36,Confirmed,01-03-2026,31-03-2026,Vertical_06,Unit_01,Commercial_Model_01
PID_100,PRJ_100,CUST_72,PRJ_Vert_01,PRJ_Exec_01,Standard Billable,Active,PM_86,Project_Manager_86,ASDM_55,Account_Service_Delivery_Manager_55,Confirmed,01-03-2026,31-03-2026,Vertical_01,Unit_01,Commercial_Model_04
PID_101,PRJ_101,CUST_73,PRJ_Vert_02,PRJ_Exec_15,Standard Billable,Active,PM_87,Project_Manager_87,ASDM_26,Account_Service_Delivery_Manager_26,Confirmed,01-03-2026,31-03-2026,Vertical_02,Unit_01,Commercial_Model_01
